Question Number,English Content,Chinese Translation,wrong,reviewed,wrong_date,wrong_record,md5,mp3_path
129,Make sure you’ve saved all files before turning off the computer.,关闭电脑之前，请确保保存了所有文件。,0,0,[],[],a2ee4b2afbe88091832b29369262cc9d,./wfd_mp3\a2ee4b2afbe88091832b29369262cc9d.mp3
130,This book can be borrowed for a maximum of one week.,这本书最长可以借一周。,0,0,[],[],dc664681704debd1e563e8ae3bb84a0d,./wfd_mp3\dc664681704debd1e563e8ae3bb84a0d.mp3
131,This essay will argue that technology does more good than harm.,这篇文章将论证技术带来的好处多于坏处。,0,0,[],[],e64e1405f85deae16a7c161d35120ef4,./wfd_mp3\e64e1405f85deae16a7c161d35120ef4.mp3
132,The history department is very active in research.,历史系在研究方面非常活跃。,0,0,[],[],a7c1b87d922a826bdf09701ad6895896,./wfd_mp3\a7c1b87d922a826bdf09701ad6895896.mp3
133,Graphs and charts allowed data to be more easily understood.,图表使数据更容易被理解。,0,0,[],[],dfbeee87aff7b1c2415de4bc67fa8451,./wfd_mp3\dfbeee87aff7b1c2415de4bc67fa8451.mp3
134,The coffee machine located on the third floor is not working today.,位于三楼的咖啡机今天不工作。,0,0,[],[],45e51617b0261c8708b04f4ac2ac9ce1,./wfd_mp3\45e51617b0261c8708b04f4ac2ac9ce1.mp3
135,Muscle cells bring parts of the body closer together.,肌肉细胞使身体的各部分更加靠近。,0,0,[],[],5a6ae373bcdf3214b2db3274c7aab90b,./wfd_mp3\5a6ae373bcdf3214b2db3274c7aab90b.mp3
136,You will learn how to rationally assess your arguments.,你将学会如何理性地评估你的论据。,0,0,[],[],95dd7d30a89dd99fb206cdfd41c22e7d,./wfd_mp3\95dd7d30a89dd99fb206cdfd41c22e7d.mp3
137,Slides and handouts can be downloaded after lectures.,课后可以下载幻灯片和讲义。,0,0,[],[],d4eead75dc36dbe7d7d526f594350856,./wfd_mp3\d4eead75dc36dbe7d7d526f594350856.mp3
138,Business practices must obey contemporary general regulations.,商业行为必须遵守当代的一般规定。,0,0,[],[],b54beedfbdc070a440dfc292f08c7dd3,./wfd_mp3\b54beedfbdc070a440dfc292f08c7dd3.mp3
139,The news will not be received until the following week.,消息要到下一周才会收到。,0,0,[],[],75bf859b636303e016d66141ff1e0d74,./wfd_mp3\75bf859b636303e016d66141ff1e0d74.mp3
140,We can see the stars that were formed thirteen billion years ago.,我们可以看到一百三十亿年前形成的恒星。,0,0,[],[],de40f840b7b3ca1f19d921132f5ba206,./wfd_mp3\de40f840b7b3ca1f19d921132f5ba206.mp3
141,"As student union members, you can influence and change our university.",作为学生会的成员，你可以影响并改变我们的大学。,0,0,[],[],34fc84484e902ebf0eaa6a12ca4379b1,./wfd_mp3\34fc84484e902ebf0eaa6a12ca4379b1.mp3
142,The horizontal line on the graph indicates that there was no change in the period.,图表上的水平线表示这一时期没有变化。,0,0,[],[],489f42b6150e998d9c6607c6602cc0d9,./wfd_mp3\489f42b6150e998d9c6607c6602cc0d9.mp3
143,Purity is one feature that makes gold expensive.,纯度是使黄金昂贵的一个特质。,0,0,[],[],1a46cb830d6b58007cba6cc107d9809a,./wfd_mp3\1a46cb830d6b58007cba6cc107d9809a.mp3
144,Even simple techniques need to be practiced to become better.,即使是简单的技巧也需要练习才能变得更好。,0,0,[],[],3392d61cd2f1592a04cf76818a361ea4,./wfd_mp3\3392d61cd2f1592a04cf76818a361ea4.mp3
145,Studying history can help you better understand the present.,学习历史可以帮助你更好地理解现在。,0,0,[],[],1300a67489e301d5215baf621abf0298,./wfd_mp3\1300a67489e301d5215baf621abf0298.mp3
146,The course covers architecture planning and construction on the international scale.,课程涵盖了国际范围内的建筑规划与建造。,0,0,[],[],06aaf208efce32c01ec7758fee8012ae,./wfd_mp3\06aaf208efce32c01ec7758fee8012ae.mp3
147,Studying medicine allows for a wide range of career opportunities.,学习医学提供了广泛的职业机会。,0,0,[],[],91bd6d8193983d7d254e322c6fd89f6a,./wfd_mp3\91bd6d8193983d7d254e322c6fd89f6a.mp3
148,The deadline for the marketing assignment has been extended.,市场营销作业的截止时间被延后了。,0,0,[],[],e7de383fb87705f7a58c4afdafb9581f,./wfd_mp3\e7de383fb87705f7a58c4afdafb9581f.mp3
149,This course aims to develop your knowledge of statistics.,这门课程旨在发展你的统计学知识。,0,0,[],[],94aeef6ba5a955bd7e24b8afcc84aa1e,./wfd_mp3\94aeef6ba5a955bd7e24b8afcc84aa1e.mp3
150,Professors with higher educational standards trained them extremely seriously.,具有较高教育水平的教授极其认真地训练他们。,0,0,[],[],eb0130045b56388cee4bfcf9a65461ef,./wfd_mp3\eb0130045b56388cee4bfcf9a65461ef.mp3
151,The capacity of programming computers is expanding enormously every year.,编程计算机的能力每年都在极大地增强。,0,0,[],[],1942ce627aa9283916436338bed704ff,./wfd_mp3\1942ce627aa9283916436338bed704ff.mp3
152,Eating fish twice a week is recommended for a healthy diet.,每周吃两次鱼是健康饮食的建议。,0,0,[],[],5ff13016953f97d5e68f580b54bc37e1,./wfd_mp3\5ff13016953f97d5e68f580b54bc37e1.mp3
153,Information technology has changed the way people study today.,信息技术改变了人们今天学习的方式。,0,0,[],[],9e0ae3233ecc7fb6da9de24f513d16c7,./wfd_mp3\9e0ae3233ecc7fb6da9de24f513d16c7.mp3
154,The library will stay open until midnight this week.,图书馆本周将一直开放到午夜。,0,0,[],[],7e17b0b96f628ab0b3968102068e2b85,./wfd_mp3\7e17b0b96f628ab0b3968102068e2b85.mp3
155,Two sides have disagreed on how to solve the problem.,双方在如何解决这个问题上意见不一。,0,0,[],[],200f7a7641da685840a19857c9cfa979,./wfd_mp3\200f7a7641da685840a19857c9cfa979.mp3
156,The very basic feature of computing would be counting and calculating.,计算机算法的最基本特征应该是计数与运算。,0,0,[],[],fd1af5a2e034ce0e19c8e79de41f4f44,./wfd_mp3\fd1af5a2e034ce0e19c8e79de41f4f44.mp3
157,Babies can distinguish between what is language and what is not.,婴儿能够区分什么是语言，什么不是语言。,0,0,[],[],6e0e5e576f09475b8a25fa0d38f4b9c8,./wfd_mp3\6e0e5e576f09475b8a25fa0d38f4b9c8.mp3
158,Psychologists say that what we have experienced influences our behaviors.,心理学家说，我们的经历会影响我们的行为。,0,0,[],[],3a98c5bb7d8a342aa06b091d3bb20508,./wfd_mp3\3a98c5bb7d8a342aa06b091d3bb20508.mp3
159,Many university lectures can now be viewed on the internet.,现在可以在网上观看许多大学的讲座。,0,0,[],[],4e2dc8b49b26a3965ac81334dd126ed3,./wfd_mp3\4e2dc8b49b26a3965ac81334dd126ed3.mp3
160,Urbanization provides the expenses of other communities.,城市化为其他社区的提供了经费。,0,0,[],[],b3b347cf35cf6482a8beef4cea8f3719,./wfd_mp3\b3b347cf35cf6482a8beef4cea8f3719.mp3
161,Students are required to have an undergraduate degree in Biology to be enrolled in this course.,修这门课的学生必须有生物学学士学位。,0,0,[],[],6d6701ebdae0536984cf8c588088fe46,./wfd_mp3\6d6701ebdae0536984cf8c588088fe46.mp3
162,Philosophy uses logic and reasons to analyze human experiences.,哲学用逻辑和理由来分析人类的经验。,0,0,[],[],ed31814b04d597f4293ce280faca6d06,./wfd_mp3\ed31814b04d597f4293ce280faca6d06.mp3
163,Field trips are an essential part of geography courses.,实地考察是地理课程的重要组成部分。,0,0,[],[],0409bc526356e3bd4722fc60f10cc62e,./wfd_mp3\0409bc526356e3bd4722fc60f10cc62e.mp3
164,Providers of higher education treat plagiarism extremely seriously.,高等教育机构对抄袭的态度极其严肃。,0,0,[],[],c33f75feeeebe83160cedfb1b2096c73,./wfd_mp3\c33f75feeeebe83160cedfb1b2096c73.mp3
165,Extracurricular activities can help students develop more talents.,课外活动可以帮助学生发展更多的才能。,0,0,[],[],b694c3e69a278e4727268eb0e4ba7307,./wfd_mp3\b694c3e69a278e4727268eb0e4ba7307.mp3
166,The government is funding a research study on the consequences of unemployment.,政府正在资助一项关于失业影响的研究。,0,0,[],[],45930f59b3409e57df340bcc164410db,./wfd_mp3\45930f59b3409e57df340bcc164410db.mp3
167,There are many different styles of business management.,商业管理有许多不同的风格。,0,0,[],[],4b42fd0bacb9e96a9bee44d473a1cc28,./wfd_mp3\4b42fd0bacb9e96a9bee44d473a1cc28.mp3
168,The digital camera has some advantages over traditional film.,数码相机比传统胶卷有一些优势。,0,0,[],[],6e0ed3784241c620335a98a0db13daf3,./wfd_mp3\6e0ed3784241c620335a98a0db13daf3.mp3
169,The university provides excellent leisure facilities for students and staff.,大学为学生和职员提供优质的休闲设施。,0,0,[],[],3ceb15cdbdee7dd0d07464752010d0b4,./wfd_mp3\3ceb15cdbdee7dd0d07464752010d0b4.mp3
170,The history of economics is a tricky subject to study.,经济学史是一门棘手的学科。,0,0,[],[],733a39ef1eb6b6c419902c434af48bf6,./wfd_mp3\733a39ef1eb6b6c419902c434af48bf6.mp3
171,Air pollution is a serious problem all over the world.,空气污染在全世界都是个严重的问题。,0,0,[],[],081d44bb1599af86567730c49245dc0e,./wfd_mp3\081d44bb1599af86567730c49245dc0e.mp3
172,Urban planning emphasizes efficiency and expansion of communities.,城市规划强调效率和社区的扩展。,0,0,[],[],436a365f33d125e256c9260fa40d0970,./wfd_mp3\436a365f33d125e256c9260fa40d0970.mp3
173,The course will start with the history of architecture.,这门课程将从建筑学的历史开始。,0,0,[],[],7c7d3c9e142b32ccc0e30e4efe985c49,./wfd_mp3\7c7d3c9e142b32ccc0e30e4efe985c49.mp3
174,Please note that the seminar has now been canceled.,请注意，研讨会现已取消。,0,0,[],[],fa6b12e3308b8d57432be4d51956ee59,./wfd_mp3\fa6b12e3308b8d57432be4d51956ee59.mp3
175,Scholarship applications must be handed in by the end of this month.,奖学金申请必须在这个月底之前交上来。,0,0,[],[],ff9e056ef1fd3c664803429cf85e73cd,./wfd_mp3\ff9e056ef1fd3c664803429cf85e73cd.mp3
176,Please return your reference books to the library shelves.,请把你的参考书归还到图书馆的书架上。,0,0,[],[],8ba9aaa39aaec0f0f83a83b205046f63,./wfd_mp3\8ba9aaa39aaec0f0f83a83b205046f63.mp3
177,Art and design is a competitive field to work in.,艺术设计是个具有竞争力的工作领域。,0,0,[],[],58da19e55dab6ef394a6225a383bcac7,./wfd_mp3\58da19e55dab6ef394a6225a383bcac7.mp3
178,Many diseases that were once serious have now been eradicated.,许多曾经严重的疾病现在已被根除。,0,0,[],[],f751c7d7098638b151588ad4562024e2,./wfd_mp3\f751c7d7098638b151588ad4562024e2.mp3
179,The urban geography degree includes the study of demography.,城市地理学位包括对人口统计学的研究。,0,0,[],[],720b0be3e25ee5721a8d1341deed4970,./wfd_mp3\720b0be3e25ee5721a8d1341deed4970.mp3
180,Nutrition plays a key role in athletic performance.,营养物质在运动表现中起着关键作用。,0,0,[],[],a39e2b0a84c4f96d376e7d744ae4a1d0,./wfd_mp3\a39e2b0a84c4f96d376e7d744ae4a1d0.mp3
181,Sugar is a solid carbohydrate which is always used to sweeten food.,糖是一种固体碳水化合物，常被用来使食物变甜。,0,0,[],[],00dafac8c8be3f76c88690f32eb7d336,./wfd_mp3\00dafac8c8be3f76c88690f32eb7d336.mp3
182,Our workshops are open to all students on campus.,我们的工作坊对校园里的所有学生开放。,0,0,[],[],09c93738699b6366e891ec05d78348ba,./wfd_mp3\09c93738699b6366e891ec05d78348ba.mp3
183,Reading histories involves a level of careful selection.,阅读历史书需要一定程度的仔细选择。,0,0,[],[],fefd71f6ce570bfebd6049f2a60b9371,./wfd_mp3\fefd71f6ce570bfebd6049f2a60b9371.mp3
184,Many universities provide exchange programs to other countries.,许多大学提供到其他国家的交换项目。,0,0,[],[],06ab01cda2f872fdf760dc9cd13c8958,./wfd_mp3\06ab01cda2f872fdf760dc9cd13c8958.mp3
185,The deadline for this assignment is next Wednesday.,这个作业的截止日期是下周三。,0,0,[],[],30599639366fbd50bfb54199677f9a11,./wfd_mp3\30599639366fbd50bfb54199677f9a11.mp3
186,City planners recognize the need for accessible public transport options.,城市规划者认识到无障碍公共交通的必要性。,0,0,[],[],9c2a337fd63685b5ebd6309b88339a94,./wfd_mp3\9c2a337fd63685b5ebd6309b88339a94.mp3
187,There are a variety of different ways to present statistical information.,有各种不同的方式来表示统计信息。,0,0,[],[],4142e7dfbc8bc25a35daa3aa669ecf82,./wfd_mp3\4142e7dfbc8bc25a35daa3aa669ecf82.mp3
188,The degree is taught by using a mixture of lectures and seminars.,该学位是通过讲座和研讨课的结合来教授的。,0,0,[],[],a96b775d3b2da50a45d8353d9d957aca,./wfd_mp3\a96b775d3b2da50a45d8353d9d957aca.mp3
189,The student magazine is looking for a new editor.,学生杂志正在找一位新编辑。,0,0,[],[],364f703230b50647c12662ddf6fdd544,./wfd_mp3\364f703230b50647c12662ddf6fdd544.mp3
190,Scholarships are available for both local and international students.,本地及国际学生均可获得奖学金。,0,0,[],[],be15e52de28d45ddca01f5fe1f225a6a,./wfd_mp3\be15e52de28d45ddca01f5fe1f225a6a.mp3
191,Libraries in many areas were closed due to the lack of funding.,许多地区的图书馆由于缺乏资金而关闭。,0,0,[],[],14565ffa31b6c1c9eb1b2f019338a2f8,./wfd_mp3\14565ffa31b6c1c9eb1b2f019338a2f8.mp3
192,Accommodation on campus is limited but there are more options nearby.,校园住宿有限，但附近有更多选择。,0,0,[],[],83813457aaf366caae5ba635af2c391d,./wfd_mp3\83813457aaf366caae5ba635af2c391d.mp3
193,All students have their own style of learning.,所有的学生都有自己的学习风格。,0,0,[],[],1562e3da6b8b47b5ea39ee44db403fb8,./wfd_mp3\1562e3da6b8b47b5ea39ee44db403fb8.mp3
194,This course can help to deepen your appreciation of art.,这门课程有助增强你对艺术的鉴赏力。,0,0,[],[],a09500a315fd51d12c3b3daa314e4543,./wfd_mp3\a09500a315fd51d12c3b3daa314e4543.mp3
195,The research shows that spending time outdoors has a range of benefits.,研究表明花时间在户外有一系列的好处。,0,0,[],[],3d5a2ae41b2cce0eb88298a0932c9952,./wfd_mp3\3d5a2ae41b2cce0eb88298a0932c9952.mp3
196,Career mobility is very important for new graduates.,职业流动性（能在不同工作之间转换的能力）对应届毕业生来说非常重要。,0,0,[],[],bf3a5239f35ee6086f5475dce3552a96,./wfd_mp3\bf3a5239f35ee6086f5475dce3552a96.mp3
197,The amount of time spent on configuration varies considerably.,花费在配置上的时间差别很大。,0,0,[],[],dab1d585868a9fbbbaa380ce1c443a02,./wfd_mp3\dab1d585868a9fbbbaa380ce1c443a02.mp3
198,Academic journals are usually edited by subject specialists.,学术期刊通常由学科专家编辑。,0,0,[],[],4a22dd47aadef338c7b9d379fcc640b5,./wfd_mp3\4a22dd47aadef338c7b9d379fcc640b5.mp3
199,Our company must have independent financial auditing.,我们公司必须有独立的财务审计。,0,0,[],[],88b1dc59bb47baf25af8198afe8eef3e,./wfd_mp3\88b1dc59bb47baf25af8198afe8eef3e.mp3
200,Please make sure your applications follow the guideline provided.,请确保您的申请符合所提供的标准。,0,0,[],[],a6f8313ab3c81e01ee5b54f7daa5999e,./wfd_mp3\a6f8313ab3c81e01ee5b54f7daa5999e.mp3
201,Understanding visual media has never been more challenging.,了解视觉媒体这件事从来没有像现在这样具有挑战性。,0,0,[],[],49e597e6c2f66bc49bded6a7e9e2e6fd,./wfd_mp3\49e597e6c2f66bc49bded6a7e9e2e6fd.mp3
202,An essay should use evidence from both primary and secondary sources.,一篇文章会使用一手资源和二手资源的论据。,0,0,[],[],3725fba67ec813371e447ce03b69da43,./wfd_mp3\3725fba67ec813371e447ce03b69da43.mp3
203,A surprisingly large number of students applied for that course.,申请那门课程的学生人数多得惊人。,0,0,[],[],30ec596c429273dd59d4f95cf4479fb0,./wfd_mp3\30ec596c429273dd59d4f95cf4479fb0.mp3
204,The university library holds a number of collections of geological maps.,大学图书馆收藏了许多地质图。,0,0,[],[],0f9073f881f9a3bf76808e9bca5283a8,./wfd_mp3\0f9073f881f9a3bf76808e9bca5283a8.mp3
205,Students are encouraged to read new books recommended by Professor Jones.,鼓励学生阅读琼斯教授推荐的新书。,0,0,[],[],761a6f9cbdf4ed396910bf192e8a8098,./wfd_mp3\761a6f9cbdf4ed396910bf192e8a8098.mp3
206,We hope students ignite and follow their interests.,我们希望学生点燃并追随他们的兴趣。,0,0,[],[],890c5c553fa7b4434eb0ad8d19e7e607,./wfd_mp3\890c5c553fa7b4434eb0ad8d19e7e607.mp3
207,Our company currently employs more than ten thousand people worldwide.,我们公司目前在全球拥有员工超过一万人。,0,0,[],[],178e8296fafd833c92dd2ce6fc25968c,./wfd_mp3\178e8296fafd833c92dd2ce6fc25968c.mp3
208,It is clear that the human population has an impact on the environment.,很明显，人口对环境有影响。,0,0,[],[],a494b4e57f00a2a276291b2a59b2c734,./wfd_mp3\a494b4e57f00a2a276291b2a59b2c734.mp3
209,It is an integrated course with several main elements.,这是一门由几个主要元素组成的综合性课程。,0,0,[],[],cf86b6c7596a6f9e3bdebc3865bb2093,./wfd_mp3\cf86b6c7596a6f9e3bdebc3865bb2093.mp3
210,The public is often misled by biased coverage.,公众经常被有偏见的报道所误导。,0,0,[],[],3e5fbf58fad112f4b96dc113f31475c0,./wfd_mp3\3e5fbf58fad112f4b96dc113f31475c0.mp3
211,The extent of advertising to children is very much open to debate.,广告对儿童的影响程度是很容易引起争论的。,0,0,[],[],d1651a4151dab8a0c756557e27a63204,./wfd_mp3\d1651a4151dab8a0c756557e27a63204.mp3
212,The renowned journalism will last for half of the century.,那个著名的新闻报道将持续半个世纪。,0,0,[],[],8115b55d2a2297dee24f56edb802b793,./wfd_mp3\8115b55d2a2297dee24f56edb802b793.mp3
213,The closing date of applications for travel scholarships is next Monday.,旅游奖学金的申请截止日期是下星期一。,0,0,[],[],9d5b8cd1a4980de5cc16a9191b598d77,./wfd_mp3\9d5b8cd1a4980de5cc16a9191b598d77.mp3
214,The university's main library will be open till midnight next Saturday.,大学的主图书馆将在下周六开放至午夜。,0,0,[],[],d7b44862e50adeee2e77c060db8ff72b,./wfd_mp3\d7b44862e50adeee2e77c060db8ff72b.mp3
215,The study of utilizing projects is funded by the university.,运用项目的研究由大学资助。,0,0,[],[],9df520979391e51f4d843ded0ee1a52b,./wfd_mp3\9df520979391e51f4d843ded0ee1a52b.mp3
216,We help students to develop their individualities and follow their interests.,我们帮助学生发展他们的个性，并遵循他们的兴趣。,0,0,[],[],79cc24443a1fca4053b1c9cfd68d2ac5,./wfd_mp3\79cc24443a1fca4053b1c9cfd68d2ac5.mp3
217,Many universities are continuously expanding the postgraduate education online learning resources.,许多高校都在不断扩大研究生教育的在线学习资源。,0,0,[],[],b33ca6875aac2358ad4ddb1a20da4a39,./wfd_mp3\b33ca6875aac2358ad4ddb1a20da4a39.mp3
218,Our aim is to transmit mathematics teaching in the classroom.,我们的目标是在课堂上进行数学教学。,0,0,[],[],9c9981e4132c2d817f6d073661b9d638,./wfd_mp3\9c9981e4132c2d817f6d073661b9d638.mp3
219,Experts said reading and listening to music can reduce stress.,专家说阅读和听音乐可以减轻压力。,0,0,[],[],9e0c19ec2a1c3fb0b272c3a8c5d5e712,./wfd_mp3\9e0c19ec2a1c3fb0b272c3a8c5d5e712.mp3
220,The night sky has always involved mystery and wonder.,夜空总是充满神秘和惊奇。,0,0,[],[],ccddac590a20c0634b7c4774d5576482,./wfd_mp3\ccddac590a20c0634b7c4774d5576482.mp3
221,Please refer to the guidelines for more information on setting goals.,有关设定目标的更多信息，请参阅指南。,0,0,[],[],974be1264968074222b12a3f38b62132,./wfd_mp3\974be1264968074222b12a3f38b62132.mp3
222,"The terms, illness and disease, are confusing despite clear differences.",尽管“病”和“疾病”有明显的区别，但这两个术语仍然令人困惑。,0,0,[],[],edc26b229e66e3b635874bbd1f87f559,./wfd_mp3\edc26b229e66e3b635874bbd1f87f559.mp3
223,Every living thing begins as a single cell.,所有生物都是从单个细胞开始的。,0,0,[],[],9ffeafb82976a0152dd365a02bf0bfb4,./wfd_mp3\9ffeafb82976a0152dd365a02bf0bfb4.mp3
224,These words recognized the excellence of the undergraduates’ research projects.,这些话肯定了本科生研究项目的优秀。,0,0,[],[],b18cd948d53496a60069d5eafcc4e82c,./wfd_mp3\b18cd948d53496a60069d5eafcc4e82c.mp3
225,"Before preparing food, please make sure to wash your hands.",在准备食物之前，请务必洗手。,0,0,[],[],491f983f6694766fc5e2f00a6c17be1d,./wfd_mp3\491f983f6694766fc5e2f00a6c17be1d.mp3
226,Technology is no longer a simple tool that we can control.,科技不再是我们可以控制的简单工具。,0,0,[],[],1006fc4f4db1de68b3f6bfbda8b3129d,./wfd_mp3\1006fc4f4db1de68b3f6bfbda8b3129d.mp3
227,The teaching staff are actively engaged in original research.,教职工积极从事原创性研究。,0,0,[],[],d375554838b3f2e29d8ec2bab479a251,./wfd_mp3\d375554838b3f2e29d8ec2bab479a251.mp3
228,There is no economic reason why public borrowing is necessarily bad.,没有经济原因可以解释为什么公共借贷一定是坏事。,0,0,[],[],5bb804bb99fcbe1694b2d2a55d0ac145,./wfd_mp3\5bb804bb99fcbe1694b2d2a55d0ac145.mp3
229,"For the purpose of research, data should be collected and analyzed.",为了达到研究目的，应该收集数据和分析数据。,0,0,[],[],de57ebc761f2f99cd74512f55547145f,./wfd_mp3\de57ebc761f2f99cd74512f55547145f.mp3
230,The deadline for the submission of this assignment is tomorrow.,交作业的最后期限是明天。,0,0,[],[],ad8b5acf9cf1cbd1ea3d7e1040cb60b7,./wfd_mp3\ad8b5acf9cf1cbd1ea3d7e1040cb60b7.mp3
231,We are phasing out disposable cups on campus.,我们正在校园里逐步淘汰一次性杯子。,0,0,[],[],2937634ea187628ed7bf460fec9984d3,./wfd_mp3\2937634ea187628ed7bf460fec9984d3.mp3
232,British students must study mathematics at secondary schools.,英国学生在中学必须学习数学。,0,0,[],[],1af4b215790d4bcb6d26b12b910a825d,./wfd_mp3\1af4b215790d4bcb6d26b12b910a825d.mp3
233,Companies’ projects must adapt to general data protection regulations.,公司的项目必须适应常规的数据保护规定。,0,0,[],[],dd5d254091e16f0737beae2ad3b31a81,./wfd_mp3\dd5d254091e16f0737beae2ad3b31a81.mp3
234,Our aim is to transform classical teaching in the classroom.,我们的目标是改造传统的课堂教学。,0,0,[],[],de73463dc8fd71afce23059d5708fc50,./wfd_mp3\de73463dc8fd71afce23059d5708fc50.mp3
235,He wrote poetry and plays as well as scientific papers.,他不仅写科学论文，还写诗歌和戏剧。,0,0,[],[],4c5d58dab3fa5e045671f2708e5e3392,./wfd_mp3\4c5d58dab3fa5e045671f2708e5e3392.mp3
236,You need to hand in an essay next semester.,你需要在下个学期交一篇论文。,0,0,[],[],9009c19d84157b72662172f5fc58efbe,./wfd_mp3\9009c19d84157b72662172f5fc58efbe.mp3
237,Scientific experiments should be repeated to verify the results.,应该重复科学实验来验证结果。,0,0,[],[],1ccd8b9f438605c788eb3ce42ef7703a,./wfd_mp3\1ccd8b9f438605c788eb3ce42ef7703a.mp3
238,We are more able to accommodate postgraduate students than previously possible.,我们比以前更有能力安顿研究生。,0,0,[],[],8bd38f9e69ff109ff164700b1104b89b,./wfd_mp3\8bd38f9e69ff109ff164700b1104b89b.mp3
239,Please click on the logo above to enter the site.,请点击上面的网站徽标进入网站。,0,0,[],[],c34729d1e788a86f5248ac88099e3f0a,./wfd_mp3\c34729d1e788a86f5248ac88099e3f0a.mp3
240,There are a wide variety of disciplines in the field of engineering.,在工程领域有各种各样的学科。,0,0,[],[],af93bc3ac696a8c49b108d01f6515683,./wfd_mp3\af93bc3ac696a8c49b108d01f6515683.mp3
241,These two regions are both areas of economic development.,这两个地区都是经济发展的地区。,0,0,[],[],33a14c3287e32a849126533221287e26,./wfd_mp3\33a14c3287e32a849126533221287e26.mp3
242,Parents are financially responsible for their children right up until they reach adulthood.,父母对他们的孩子负有经济责任，直到他们成年。,0,0,[],[],debad5fa3d534a19aff4b40e9316a95f,./wfd_mp3\debad5fa3d534a19aff4b40e9316a95f.mp3
243,More research is needed before any definitive conclusion can be drawn.,在得出任何明确的结论之前，还需要进行更多的研究。,0,0,[],[],3b6c929fb6f6c46c412488c630060f02,./wfd_mp3\3b6c929fb6f6c46c412488c630060f02.mp3
244,The untapped potential of using sunray is phenomenal.,利用太阳光的潜力是惊人的。,0,0,[],[],ca95b03317c294caccf601fcf999658e,./wfd_mp3\ca95b03317c294caccf601fcf999658e.mp3
245,Students are encouraged to think carefully about their accommodation needs.,我们鼓励学生仔细考虑他们的住宿需求。,0,0,[],[],b1a78232dfda69c2e04eb2668f6cbd6e,./wfd_mp3\b1a78232dfda69c2e04eb2668f6cbd6e.mp3
246,"This is a compulsory course, so make sure you attend.",这是必修课，所以你一定要参加。,0,0,[],[],1ce6e54f70d7dc7bd13a3c2f07b14cbe,./wfd_mp3\1ce6e54f70d7dc7bd13a3c2f07b14cbe.mp3
247,Lecture outlines are available on the college internal website.,课程大纲可在学院内部网站上查阅。,0,0,[],[],3bf252600cbb8d9f8e96da475b8f2ab3,./wfd_mp3\3bf252600cbb8d9f8e96da475b8f2ab3.mp3
248,There is an agreed consensus that leadership skills can be taught.,人们一致认为，领导技能是可以教授的。,0,0,[],[],198d16575fafd821b29e8e55880798f6,./wfd_mp3\198d16575fafd821b29e8e55880798f6.mp3
249,Optional tutorials are offered in the final week of the term.,选修辅导课在学期的最后一周提供。,0,0,[],[],169b05ecc07ff2f274473aa3188b8c49,./wfd_mp3\169b05ecc07ff2f274473aa3188b8c49.mp3
250,Banks charge interest on the money they lend to customers.,银行从借给客户的钱中收取利息。,0,0,[],[],d420b1fc875f5df36cd043f11cf4ef7d,./wfd_mp3\d420b1fc875f5df36cd043f11cf4ef7d.mp3
251,Practical experience is a vital part of legal training.,实践经验是法律培训的重要组成部分。,0,0,[],[],106dd00834a6ac301858d543a3877a16,./wfd_mp3\106dd00834a6ac301858d543a3877a16.mp3
252,Effective presenters make eye contact with the audience.,能带动观众的演讲者会与听众进行眼神交流。,0,0,[],[],dc4d4845dbf132bc3ee6835360df37e4,./wfd_mp3\dc4d4845dbf132bc3ee6835360df37e4.mp3
253,Recession triggers exciting creativity and high rates of public wisdom.,经济衰退激发了令人兴奋的创造力和高比例的公众智慧。,0,0,[],[],225c6852ded8171d7d55acfb45b2adfb,./wfd_mp3\225c6852ded8171d7d55acfb45b2adfb.mp3
254,Students will focus on reporting news on changing the media world.,学生将专注于报道改变媒体世界的新闻。,0,0,[],[],d485c82c2b54e3088d1a6a0ccec3fc97,./wfd_mp3\d485c82c2b54e3088d1a6a0ccec3fc97.mp3
255,The use of wind energy has increased rapidly.,风能的利用率已迅速增加。,0,0,[],[],971f49f384ad92ab2f6fe7cb151e3b85,./wfd_mp3\971f49f384ad92ab2f6fe7cb151e3b85.mp3
256,Globalization has been an overwhelming urbanization phenomenon.,全球化是一种势不可挡的城市化现象。,0,0,[],[],e71bd2611d02cab2eade404cd7fcf7da,./wfd_mp3\e71bd2611d02cab2eade404cd7fcf7da.mp3
257,"The other book isn't thorough, but it's more insightful.",另一本书不够详尽，但更有见地。,0,0,[],[],bba239b786e26fd222511fc4536cf7e7,./wfd_mp3\bba239b786e26fd222511fc4536cf7e7.mp3
258,Building trust is not something that can be achieved overnight.,建立信任不是一朝一夕就能实现的。,0,0,[],[],1775740e4ff61bfe8b39f65e99408f53,./wfd_mp3\1775740e4ff61bfe8b39f65e99408f53.mp3
259,The university will cease the colossal renovation of the faint empty theater.,这所大学将停止对那座昏暗的空剧院的大规模整修。,0,0,[],[],249bc1dcd9cdb363093ce987d479c412,./wfd_mp3\249bc1dcd9cdb363093ce987d479c412.mp3
260,A wide range of courses covered different aspects in this subject.,许多课程涵盖了这门学科的不同方面。,0,0,[],[],5d0a7003eb2381b7feb5a94078323129,./wfd_mp3\5d0a7003eb2381b7feb5a94078323129.mp3
